fs.costing.land_cost_percent_FCI,fs.costing.working_capital_percent_FCI,fs.costing.salaries_percent_FCI,fs.costing.benefit_percent_of_salary,fs.costing.maintenance_costs_percent_FCI,fs.costing.laboratory_fees_percent_FCI,fs.costing.insurance_and_taxes_percent_FCI,fs.costing.utilization_factor,fs.costing.electricity_cost,fs.costing.electrical_carbon_intensity,fs.costing.plant_lifetime,fs.costing.wacc,fs.costing.capital_recovery_factor,fs.costing.TPEC,fs.costing.TIC,fs.costing.heat_cost,fs.costing.acetic_acid_cost,fs.costing.activated_carbon_cost,fs.costing.alum_cost,fs.costing.anhydrous_ammonia_cost,fs.costing.ammonia_cost,fs.costing.anthracite_cost,fs.costing.anti-scalant_cost,fs.costing.cationic_polymer_cost,fs.costing.caustic_soda_cost,fs.costing.chlorine_cost,fs.costing.ferric_chloride_cost,fs.costing.hydrochloric_acid_cost,fs.costing.hydrogen_peroxide_cost,fs.costing.ion_exchange_resin_cost,fs.costing.lime_cost,fs.costing.phosphoric_acid_cost,fs.costing.sand_cost,fs.costing.sodium_bisulfite_cost,fs.costing.sodium_chloride_cost,fs.costing.sulfuric_acid_cost,fs.costing.catalyst_ATHTL_cost,fs.costing.polymer_cost,fs.costing.magnesium_chloride_cost,fs.costing.catalyst_HTG_cost,fs.costing.hydrogen_product_cost,fs.costing.filtration_media_cost,fs.costing.filtration_media_disposal_cost,fs.costing.disinfection_solution_cost,fs.costing.struvite_product_cost,fs.costing.aggregate_capital_cost,fs.costing.aggregate_fixed_operating_cost,fs.costing.aggregate_variable_operating_cost,fs.costing.aggregate_flow_electricity,fs.costing.aggregate_flow_acetic_acid,fs.costing.aggregate_flow_activated_carbon,fs.costing.aggregate_flow_anthracite,fs.costing.aggregate_flow_cationic_polymer,fs.costing.aggregate_flow_ferric_chloride,fs.costing.aggregate_flow_phosphoric_acid,fs.costing.aggregate_flow_sand,fs.costing.aggregate_flow_costs[electricity],fs.costing.aggregate_flow_costs[acetic_acid],fs.costing.aggregate_flow_costs[activated_carbon],fs.costing.aggregate_flow_costs[anthracite],fs.costing.aggregate_flow_costs[cationic_polymer],fs.costing.aggregate_flow_costs[ferric_chloride],fs.costing.aggregate_flow_costs[phosphoric_acid],fs.costing.aggregate_flow_costs[sand],fs.costing.total_capital_cost,fs.costing.total_operating_cost,fs.costing.fixed_bed.capital_a_parameter[default],fs.costing.fixed_bed.capital_b_parameter[default],fs.costing.fixed_bed.reference_state[default],fs.unit.properties_in[0.0].flow_mass_comp[H2O],fs.unit.properties_in[0.0].flow_mass_comp[tds],fs.unit.properties_treated[0.0].flow_mass_comp[H2O],fs.unit.properties_treated[0.0].flow_mass_comp[tds],fs.unit.recovery_frac_mass_H2O[0.0],"fs.unit.removal_frac_mass_comp[0.0,tds]",fs.unit.electricity[0.0],fs.unit.energy_electric_flow_vol_inlet,fs.unit.acetic_acid_dose,fs.unit.phosphoric_acid_dose,fs.unit.ferric_chloride_dose,fs.unit.acetic_acid_demand[0.0],fs.unit.phosphoric_acid_demand[0.0],fs.unit.ferric_chloride_demand[0.0],fs.unit.activated_carbon_demand[0.0],fs.unit.activated_carbon_parameter_a,fs.unit.activated_carbon_parameter_b,fs.unit.sand_demand[0.0],fs.unit.sand_parameter_a,fs.unit.sand_parameter_b,fs.unit.anthracite_demand[0.0],fs.unit.anthracite_parameter_a,fs.unit.anthracite_parameter_b,fs.unit.cationic_polymer_demand[0.0],fs.unit.cationic_polymer_parameter_a,fs.unit.cationic_polymer_parameter_b,fs.unit.costing.capital_cost,fs.costing.total_investment_factor,fs.costing.maintenance_labor_chemical_factor,fs.costing.aggregate_direct_capital_cost,fs.costing.maintenance_labor_chemical_operating_cost,fs.costing.total_fixed_operating_cost,fs.costing.total_variable_operating_cost,fs.costing.total_annualized_cost,fs.costing.land_cost,fs.costing.working_capital,fs.costing.salary_cost,fs.costing.benefits_cost,fs.costing.maintenance_cost,fs.costing.laboratory_cost,fs.costing.insurance_and_taxes_cost,fs.costing.LCOW,fs.costing.LCOW_component_direct_capex['fs.unit'],fs.costing.LCOW_component_indirect_capex['fs.unit'],fs.costing.LCOW_component_fixed_opex['fs.unit'],fs.costing.LCOW_component_variable_opex['fs.unit'],fs.costing.LCOW_aggregate_direct_capex[FixedBedZO],fs.costing.LCOW_aggregate_indirect_capex[FixedBedZO],fs.costing.LCOW_aggregate_fixed_opex[FixedBedZO],fs.costing.LCOW_aggregate_variable_opex[FixedBedZO],fs.costing.LCOW_aggregate_variable_opex[electricity],fs.costing.LCOW_aggregate_variable_opex[acetic_acid],fs.costing.LCOW_aggregate_variable_opex[activated_carbon],fs.costing.LCOW_aggregate_variable_opex[anthracite],fs.costing.LCOW_aggregate_variable_opex[cationic_polymer],fs.costing.LCOW_aggregate_variable_opex[ferric_chloride],fs.costing.LCOW_aggregate_variable_opex[phosphoric_acid],fs.costing.LCOW_aggregate_variable_opex[sand],fs.costing.SEC,fs.costing.SEC_component['fs.unit'],fs.unit.costing.cost_factor,fs.unit.costing.direct_capital_cost,flow_mgd,subtype,unit_class,unit,fs.costing.fixed_bed.capital_a_parameter[gravity_basin],fs.costing.fixed_bed.capital_b_parameter[gravity_basin],fs.costing.fixed_bed.reference_state[gravity_basin],fs.costing.fixed_bed.capital_a_parameter[pressure_vessel],fs.costing.fixed_bed.capital_b_parameter[pressure_vessel],fs.costing.fixed_bed.reference_state[pressure_vessel]
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,400036.01589142275,0.0,0.0,1.0931469563952625,0.7881952360516006,0.050448618914566,0.05547077927718669,0.09789953737631016,0.15763904721032013,0.06667092245166258,0.05562651914993474,748.8574673406722,10171.487049004218,2152.885776166875,731.681721669323,953.2170378998861,1627.4379278406748,758.693141273392,332.9639047175459,420637.87070983107,23437.760662694778,1542007.97,0.734002,1.0,4.381263638888887,0.0004381263638888888,4.381263638888887,0.00039431372749999994,1,0.1,1.0931469563952625,0.0693,0.0499676,0.0042266,0.00999352,0.7881952360516006,0.06667092245166258,0.15763904721032013,0.050448618914566,0.0040419,-0.08488,0.05562651914993474,0.0045013,-0.088486,0.05547077927718669,0.0044887,-0.0884862,0.09789953737631016,0.010659,-0.19607,400036.01589142275,1.0515,0.014900000000000002,400036.01589142275,5960.5366367822,5960.5366367822,17477.224025912583,50800.85780148112,600.0540238371341,20001.80079457114,400.0360158914228,360.03241430228053,3200.288127131382,1200.1080476742682,800.0720317828456,0.36738740546128074,0.1881954821752698,0.009692067332026398,0.043106084914977076,0.12639377103900754,0.1881954821752698,0.009692067332026398,0.043106084914977076,0.12639377103900754,0.00541567237037037,0.07355931372693728,0.015569483543984243,0.005291458864690632,0.006893583091924016,0.011769490196309964,0.005486803112713853,0.002407966132077199,0.0693,0.0693,1.0,400036.01589142275,0.1,default,FixedBedZO,fixed_bed,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,2054384.5844561076,0.0,0.0,10.157157136505983,7.323647401646124,0.38794585517396935,0.42315060156228285,0.587570718360577,1.4647294803292248,0.6194839877800316,0.42433882923230143,6958.133967373747,94510.06716366421,16555.5198833359,5581.525349218122,5720.991484970048,15121.610746186272,7049.523770998602,2539.9668299148784,2160185.3905555974,184647.66950405776,1542007.97,0.734002,1.0,40.70924131134258,0.004070924131134258,40.70924131134258,0.0036638317180208322,1,0.1,10.157157136505983,0.0693,0.0499676,0.0042266,0.00999352,7.323647401646124,0.6194839877800316,1.4647294803292248,0.38794585517396935,0.0040419,-0.08488,0.42433882923230143,0.0045013,-0.088486,0.42315060156228285,0.0044887,-0.0884862,0.587570718360577,0.010659,-0.19607,2054384.5844561076,1.0515,0.014900000000000002,2054384.5844561076,30610.330308396005,30610.330308396005,154037.3391956618,325170.82919914706,3081.5768766841616,102719.22922280538,2054.3845844561074,1848.946126010497,16435.07667564886,6163.153753368323,4108.769168912215,0.25308777951122374,0.10401553961124277,0.00535680028997903,0.02382470945175847,0.11989073015824349,0.10401553961124277,0.00535680028997903,0.02382470945175847,0.11989073015824349,0.00541567237037037,0.07355931372693728,0.012885533970703382,0.0043442268803702624,0.0044527765147313715,0.011769490196309964,0.005486803112713853,0.001976913386107037,0.0693,0.0693,1.0,2054384.5844561076,0.9291666666666666,default,FixedBedZO,fixed_bed,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,3280997.2858008025,0.0,0.0,19.2211673166167,13.859099567240643,0.695450622284548,0.7568175626311037,0.9811939341917861,2.771819913448129,1.1722970531084003,0.7589428403299475,13167.410467406818,178848.64727832415,29678.23074162516,9982.725759961437,9553.577071161451,28615.783564531863,13340.35440072381,4542.807557175377,3449968.646019544,336616.396399342,1542007.97,0.734002,1.0,77.03721898379627,0.007703721898379629,77.03721898379627,0.0069333497085416656,1,0.1,19.2211673166167,0.0693,0.0499676,0.0042266,0.00999352,13.859099567240643,1.1722970531084003,2.771819913448129,0.695450622284548,0.0040419,-0.08488,0.7589428403299475,0.0045013,-0.088486,0.7568175626311037,0.0044887,-0.0884862,0.9811939341917861,0.010659,-0.19607,3280997.2858008025,1.0515,0.014900000000000002,3280997.2858008025,48886.85955843196,48886.85955843196,287729.5368409101,561041.807804872,4921.495928701204,164049.86429004013,3280.9972858008027,2952.8975572207223,26247.978286406422,9842.991857402409,6561.9945716016055,0.2307529354137217,0.08778387789005554,0.004520869711337875,0.020106855120839665,0.1183413326914886,0.08778387789005554,0.004520869711337875,0.020106855120839665,0.1183413326914886,0.00541567237037037,0.07355931372693726,0.012206467978403463,0.004105831758873912,0.003929325626368387,0.011769490196309962,0.005486803112713853,0.001868427921511402,0.0693,0.0693,1.0,3280997.2858008025,1.7583333333333333,default,FixedBedZO,fixed_bed,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,4356684.4159864625,0.0,0.0,28.285177496727425,20.39455173283517,0.9903856864809628,1.0762773768086378,1.3385590853178475,4.078910346567033,1.7251101184367692,1.0792998376134313,19376.6869674399,263187.22739298415,42264.53177945186,14196.528231954306,13033.129272676342,42109.956382877455,19631.18503044902,6460.369870064088,4581053.663409766,485174.2127260954,1542007.97,0.734002,1.0,113.36519665624996,0.011336519665624998,113.36519665624996,0.010202867699062496,1,0.1,28.285177496727425,0.0693,0.0499676,0.0042266,0.00999352,20.39455173283517,1.7251101184367692,4.078910346567033,0.9903856864809628,0.0040419,-0.08488,1.0792998376134313,0.0045013,-0.088486,1.0762773768086378,0.0044887,-0.0884862,1.3385590853178475,0.010659,-0.19607,4356684.4159864625,1.0515,0.014900000000000002,4356684.4159864625,64914.5977981983,64914.5977981983,420259.6149278972,783178.327710659,6535.026623979694,217834.22079932314,4356.684415986462,3921.0159743878166,34853.4753278917,13070.053247959388,8713.368831972924,0.2188938303840431,0.07921106344691915,0.004079369767516346,0.018143256085013607,0.11746014108459396,0.07921106344691915,0.004079369767516346,0.018143256085013607,0.11746014108459396,0.0054156723703703705,0.07355931372693726,0.011812693129080343,0.003967847848818087,0.003642684542517755,0.01176949019630996,0.005486803112713853,0.0018056361578463334,0.0693,0.0693,1.0,4356684.4159864625,2.5875,default,FixedBedZO,fixed_bed,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,5342769.975981871,0.0,0.0,37.349187676838135,26.930003898429685,1.2772611498184532,1.3866415530376315,1.6737469026955865,5.386000779685936,2.2779231837651377,1.3905356727485292,25585.963467472964,347525.80750764406,54506.890794204635,18290.355608580056,16296.747743035436,55604.12920122304,25922.015660174227,8323.335601845458,5617922.629744937,631662.5182263097,1542007.97,0.734002,1.0,149.69317432870363,0.014969317432870366,149.69317432870363,0.013472385689583335,1,0.1,37.349187676838135,0.0693,0.0499676,0.0042266,0.00999352,26.930003898429685,2.2779231837651377,5.386000779685936,1.2772611498184532,0.0040419,-0.08488,1.3905356727485292,0.0045013,-0.088486,1.3866415530376315,0.0044887,-0.0884862,1.6737469026955865,0.010659,-0.19607,5342769.975981871,1.0515,0.014900000000000002,5342769.975981871,79607.27264212989,79607.27264212989,552055.2455841798,997116.447461179,8014.154963972806,267138.49879909353,5342.769975981871,4808.492978383684,42742.159807854965,16028.309927945613,10685.539951963741,0.21105540940142326,0.07356546192588408,0.003788621289183036,0.016850133764812442,0.11685119242154376,0.07356546192588408,0.003788621289183036,0.016850133764812442,0.11685119242154376,0.00541567237037037,0.07355931372693728,0.011537242396372582,0.0038714419974671768,0.003449463475981802,0.011769490196309962,0.005486803112713854,0.0017617651453907326,0.0693,0.0693,1.0,5342769.975981871,3.4166666666666665,default,FixedBedZO,fixed_bed,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,6266530.371844722,0.0,0.0,46.41319785694886,33.46545606402421,1.558227014143317,1.6903434491741784,1.9931908634579631,6.693091212804842,2.8307362490935066,1.6950905316976659,31795.23996750604,431864.387622304,66497.05872958062,22296.30485131614,19407.07322784823,69098.30201956864,32212.846289899433,10146.310984559566,6589256.685994726,776688.8262330691,1542007.97,0.734002,1.0,186.02115200115733,0.018602115200115732,186.02115200115733,0.01674190368010416,1,0.1,46.41319785694886,0.0693,0.0499676,0.0042266,0.00999352,33.46545606402421,2.8307362490935066,6.693091212804842,1.558227014143317,0.0040419,-0.08488,1.6950905316976659,0.0045013,-0.088486,1.6903434491741784,0.0044887,-0.0884862,1.9931908634579631,0.010659,-0.19607,6266530.371844722,1.0515,0.014900000000000002,6266530.371844722,93371.30254048637,93371.30254048637,683317.5236925827,1205329.4297693332,9399.795557767084,313326.5185922361,6266.530371844722,5639.87733466025,50132.24297475778,18799.591115534167,12533.060743689444,0.20530335033379746,0.06943433921445531,0.003575868469544458,0.01590390208945696,0.11638924056034071,0.06943433921445531,0.003575868469544458,0.01590390208945696,0.11638924056034071,0.00541567237037037,0.07355931372693726,0.011326421314659862,0.00379772199448819,0.003305600158301186,0.011769490196309962,0.005486803112713852,0.0017282176865600406,0.0693,0.0693,1.0,6266530.371844722,4.245833333333333,default,FixedBedZO,fixed_bed,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,7143195.928077913,0.0,0.0,55.47720803705957,40.00090822961872,1.8345430875754518,1.9888075434380252,2.300550867962124,8.000181645923746,3.383549314421875,1.994392889903307,38004.51646753911,516202.96773696394,78288.79767144818,26233.165396508793,22399.74102704508,82592.47483791423,38503.67691962464,11937.846450057714,7511070.518373926,920596.8058354626,1542007.97,0.734002,1.0,222.349129673611,0.022234912967361103,222.349129673611,0.020011421670624998,1,0.1,55.47720803705957,0.0693,0.0499676,0.0042266,0.00999352,40.00090822961872,3.383549314421875,8.000181645923746,1.8345430875754518,0.0040419,-0.08488,1.994392889903307,0.0045013,-0.088486,1.9888075434380252,0.0044887,-0.0884862,2.300550867962124,0.010659,-0.19607,7143195.928077913,1.0515,0.014900000000000002,7143195.928077913,106433.61932836092,106433.61932836092,814163.1865071016,1409202.7220448432,10714.79389211687,357159.79640389566,7143.195928077913,6428.876335270123,57145.5674246233,21429.58778423374,14286.391856155826,0.20081245481829835,0.0662165601427927,0.0034101528473538313,0.015166871336659475,0.11601887049149236,0.0662165601427927,0.0034101528473538313,0.015166871336659475,0.11601887049149236,0.00541567237037037,0.07355931372693726,0.01115621294171493,0.003738245930495538,0.0031919800555082487,0.011769490196309962,0.005486803112713852,0.0017011521574421943,0.0693,0.0693,1.0,7143195.928077913,5.074999999999999,default,FixedBedZO,fixed_bed,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,7982392.05448918,0.0,0.0,64.54121821717028,46.536360395213244,2.1070359584694165,2.2829677721161086,2.598173684432842,9.307272079042649,3.936362379750244,2.2893793044060073,44213.792967572175,600541.5478516239,89917.38212978528,30113.256236594385,25297.600885535983,96086.64765625981,44794.50754934985,13703.547952010544,8393485.245295374,1063605.9248406207,1542007.97,0.734002,1.0,258.6771073460647,0.025867710734606475,258.6771073460647,0.02328093966114583,1,0.1,64.54121821717028,0.0693,0.0499676,0.0042266,0.00999352,46.536360395213244,3.936362379750244,9.307272079042649,2.1070359584694165,0.0040419,-0.08488,2.2893793044060073,0.0045013,-0.088486,2.2829677721161086,0.0044887,-0.0884862,2.598173684432842,0.010659,-0.19607,7982392.05448918,1.0515,0.014900000000000002,7982392.05448918,118937.6416118888,118937.6416118888,944668.2832287318,1609614.185372212,11973.588081733771,399119.602724459,7982.392054489181,7184.152849040263,63859.136435913446,23947.176163467542,15964.784108978361,0.19715890643152764,0.06360401714571635,0.003275606883004399,0.014568469616414566,0.11571081278639234,0.06360401714571635,0.003275606883004399,0.014568469616414566,0.11571081278639234,0.005415672370370369,0.07355931372693726,0.01101382734508815,0.0036885215865107555,0.0030986601455554154,0.011769490196309962,0.005486803112713853,0.0016785243029065577,0.0693,0.0693,1.0,7982392.05448918,5.904166666666666,default,FixedBedZO,fixed_bed,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,8790703.943910845,0.0,0.0,73.605228397281,53.07181256080776,2.3762888161977536,2.57348265931295,2.887684060793658,10.614362512161552,4.489175445078612,2.580710147241885,50423.069467605244,684880.1279662837,101407.69960660826,33945.26356738332,28116.472463398175,109580.8204746054,51085.33817907504,15447.368282271158,9243425.197022254,1205867.648771502,1542007.97,0.734002,1.0,295.00508501851834,0.029500508501851843,295.00508501851834,0.026550457651666647,1,0.1,73.605228397281,0.0693,0.0499676,0.0042266,0.00999352,53.07181256080776,4.489175445078612,10.614362512161552,2.3762888161977536,0.0040419,-0.08488,2.580710147241885,0.0045013,-0.088486,2.57348265931295,0.0044887,-0.0884862,2.887684060793658,0.010659,-0.19607,8790703.943910845,1.0515,0.014900000000000002,8790703.943910845,130981.4887642716,130981.4887642716,1074886.16000723,1807165.722894988,13186.055915866267,439535.1971955423,8790.703943910845,7911.633549519761,70325.63155128676,26372.111831732534,17581.40788782169,0.19409801064273843,0.061419127043337206,0.00316308504273188,0.014068021586555193,0.11544777697011412,0.061419127043337206,0.00316308504273188,0.014068021586555193,0.11544777697011412,0.00541567237037037,0.07355931372693726,0.01089165897080421,0.0036458793157153023,0.0030198400192620522,0.011769490196309962,0.005486803112713852,0.0016591192580011074,0.0693,0.0693,1.0,8790703.943910845,6.7333333333333325,default,FixedBedZO,fixed_bed,,,,,,
0.0015,0.05,0.001,0.9,0.008,0.003,0.002,1.0,5.9069053497942385e-08,0.475,30.0,0.05,0.06505143508027657,3.4,1.65,6.1e-06,1.1,3.63759,0.67,1.0,1.0,1.124346,3.49,0.79,1.02,0.44,0.88,0.15,1.53,7.072,0.12,0.97,0.510219804,1.3,0.08,0.14,0,0,0,0,0,0,0,0,0,9572893.893574016,0.0,0.0,82.66923857739172,59.6072647264023,2.6427346016300626,2.86084081740429,3.1702689315231636,11.92145294528046,5.041988510406982,2.868875401930973,56632.34596763833,769218.7080809439,112778.22577598187,37735.632381157455,30867.912568745218,123074.99329295103,57376.16880880027,17172.24033738909,10065897.92909308,1347492.3462278603,1542007.97,0.734002,1.0,331.3330626909721,0.03313330626909721,331.3330626909721,0.029819975642187486,1,0.1,82.66923857739172,0.0693,0.0499676,0.0042266,0.00999352,59.6072647264023,5.041988510406982,11.92145294528046,2.6427346016300626,0.0040419,-0.08488,2.868875401930973,0.0045013,-0.088486,2.86084081740429,0.0044887,-0.0884862,3.1702689315231636,0.010659,-0.19607,9572893.893574016,1.0515,0.014900000000000002,9572893.893574016,142636.11901425285,142636.11901425285,1204856.2272136072,2002293.4518869491,14359.340840361025,478644.6946787008,9572.893893574017,8615.604504216615,76583.15114859214,28718.68168072205,19145.787787148034,0.19147653411628335,0.059550849036687906,0.0030668687253894386,0.013640093405344094,0.11521872294886189,0.059550849036687906,0.0030668687253894386,0.013640093405344094,0.11521872294886189,0.005415672370370369,0.07355931372693726,0.010784824659451533,0.003608605968431334,0.00295185548776469,0.011769490196309962,0.005486803112713853,0.0016421574268828734,0.0693,0.0693,1.0,9572893.893574016,7.562499999999999,default,FixedBedZO,fixed_bed,,,,,,
